PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
"Derrick Rose","MIN",30,51,24,27,27.3,18.0,7.1,14.8,48.2,1.1,2.9,37.0,2.7,3.1,85.6,0.6,2.1,2.7,4.3,1.6,0.6,0.2,1.1,28.7,1,0,0.7

"T.J. Warren","PHX",25,43,10,33,31.6,18.0,6.9,14.2,48.6,1.8,4.2,42.8,2.3,2.9,81.5,0.7,3.3,4.0,1.5,1.2,1.2,0.7,2.8,29.4,0,0,-5.2


"Andrew Wiggins","MIN",24,70,31,39,34.9,17.9,6.7,16.5,40.7,1.6,4.7,33.2,2.9,4.1,70.3,1.1,3.7,4.8,2.5,1.9,1.0,0.7,2.1,30.4,3,0,-0.7

"Kevin Love","CLE",30,21,7,14,27.9,17.6,5.1,13.3,38.4,2.5,6.9,36.1,4.9,5.4,90.4,1.6,9.6,11.2,2.2,2.0,0.2,0.2,2.6,33.7,12,0,-2.4

"Andre Drummond","DET",25,76,38,38,33.4,17.3,7.1,13.3,53.2,0.1,0.5,13.2,3.1,5.2,58.7,5.3,10.2,15.4,1.4,2.2,1.7,1.7,3.4,46.1,66,0,1.9

"De'Aaron Fox","SAC",21,79,39,40,31.6,17.2,6.2,13.6,45.3,1.1,2.9,36.8,3.8,5.2,72.5,0.5,3.2,3.8,7.2,2.8,1.6,0.6,2.6,36.3,15,1,0.7

"Jordan Clarkson","CLE",26,79,18,61,27.4,17.0,6.6,14.7,45.0,1.8,5.5,32.5,2.1,2.4,84.8,1.0,2.4,3.4,2.4,1.6,0.7,0.2,1.4,25.8,1,0,-3.9

"Spencer Dinwiddie","BKN",26,66,34,32,28.2,17.0,5.5,12.3,44.3,1.8,5.4,33.9,4.3,5.3,80.3,0.4,2.1,2.5,4.5,2.2,0.6,0.3,2.7,27.2,2,0,-1.3

"Ben Simmons","PHI",22,78,50,28,34.3,16.9,6.8,12.2,56.2,0.0,0.1,0.0,3.3,5.5,59.9,2.2,6.7,8.9,7.8,3.5,1.4,0.8,2.6,42.4,42,10,1.6

"Pascal Siakam","TOR",25,78,55,23,32.0,16.9,6.5,11.9,54.6,1.0,2.7,36.2,3.0,3.8,78.4,1.6,5.3,6.9,3.1,1.9,0.9,0.7,3.0,32.7,17,0,7.4

"Collin Sexton","CLE",20,80,19,61,31.6,16.7,6.3,14.7,43.0,1.5,3.5,41.1,2.6,3.1,84.1,0.7,2.2,2.9,2.9,2.2,0.5,0.1,2.3,24.1,1,0,-8.0

"Montrezl Harrell","LAC",25,80,47,33,26.3,16.6,6.6,10.8,61.5,0.0,0.2,17.6,3.3,5.1,64.6,2.3,4.3,6.6,1.9,1.6,0.9,1.4,3.1,32.4,17,0,0.8

"Josh Richardson","MIA",25,73,35,38,34.8,16.6,5.8,14.1,41.2,2.2,6.3,35.7,2.7,3.2,86.1,0.7,2.9,3.6,4.1,1.5,1.1,0.5,2.7,30.1,1,0,0.9

"Clint Capela","HOU",24,65,43,22,33.6,16.5,7.1,11.0,64.4,0.0,0.0,0.0,2.4,3.8,63.2,4.4,8.2,12.7,1.4,1.4,0.7,1.5,2.5,38.9,43,0,3.2

"Harrison Barnes","SAC",26,75,34,41,33.1,16.3,5.6,13.4,41.7,2.2,5.7,39.0,2.9,3.5,82.7,0.7,4.0,4.7,1.5,1.3,0.7,0.2,1.6,25.4,4,0,-1.0

"Deandre Ayton","PHX",20,71,17,54,30.7,16.3,7.2,12.3,58.5,0.0,0.1,0.0,2.0,2.7,74.6,3.1,7.1,10.3,1.8,1.8,0.9,0.9,2.9,34.9,39,0,-5.4

"DeMarcus Cousins","GSW",28,28,21,7,25.5,16.3,6.0,12.1,49.4,0.8,3.0,27.7,3.5,4.7,74.2,1.5,6.6,8.1,3.5,2.3,1.3,1.5,3.7,37.4,9,0,2.1

"Eric Gordon","HOU",30,66,43,23,31.9,16.2,5.6,13.8,40.8,3.1,8.8,35.6,1.8,2.3,78.3,0.3,2.0,2.2,1.9,1.3,0.6,0.4,2.1,23.3,0,0,5.0

"Eric Bledsoe","MIL",29,77,58,19,29.2,16.0,6.1,12.5,48.5,1.6,4.8,33.3,2.3,3.1,75.0,1.1,3.6,4.6,5.5,2.1,1.5,0.4,2.0,33.3,8,1,7.0

"Jayson Tatum","BOS",21,78,48,30,31.4,15.9,6.0,13.3,45.1,1.5,4.0,37.3,2.5,2.9,85.5,0.9,5.2,6.1,2.2,1.6,1.1,0.7,2.2,30.3,8,0,4.6

"Aaron Gordon","ORL",23,76,38,38,33.7,15.9,6.0,13.4,44.6,1.6,4.5,35.3,2.4,3.3,72.5,1.6,5.7,7.4,3.7,2.1,0.7,0.7,2.2,32.6,19,0,1.2

"Rudy Gobert","UTA",26,79,49,30,31.7,15.7,5.8,8.7,66.9,0.0,0.0,0.0,4.1,6.4,63.6,3.8,9.1,12.9,2.0,1.6,0.8,2.3,2.9,42.0,64,0,4.5

"Chris Paul","HOU",33,56,38,18,32.1,15.6,5.2,12.4,41.8,2.1,6.1,35.2,3.1,3.6,86.1,0.6,3.9,4.6,8.2,2.6,1.9,0.3,2.6,37.4,18,1,4.8

"Malcolm Brogdon","MIL",26,64,49,15,28.6,15.6,5.9,11.7,50.5,1.6,3.8,42.6,2.2,2.4,92.8,1.0,3.5,4.5,3.2,1.4,0.7,0.2,1.6,27.2,0,0,6.6

"Jusuf Nurkic","POR",24,72,45,27,27.4,15.6,5.8,11.5,50.8,0.0,0.4,10.3,3.9,5.1,77.3,3.4,7.0,10.4,3.2,2.3,1.0,1.4,3.5,37.9,36,1,5.9

"Jonas Valanciunas","MEM",26,49,31,18,22.3,15.6,6.1,11.0,55.9,0.3,1.0,29.2,3.0,3.8,79.5,2.2,6.4,8.6,1.4,1.8,0.4,1.1,3.0,30.5,16,0,1.4

